tweet_id,tweet_text,polarity
1,"RT @Andengclownery: My only big four of this batch!

HAPPY 3MONTHS KODREA https://t.co/Pcar5pRcEO",positive
2,RT @ahemyg: these photos just make me happy. https://t.co/ocJNKw6hR4,positive
3,@TMbhardy Akanke happy new year,positive
4,"RT @Louis_Tomlinson: @skyleridk Hows this , Larry is the biggest load of bullshit I've ever heard. I'm happy why can't you accept that.",negative
5,"RT @bttroffwithart: Happy Birthday my Daisy, my Only💜🌼

#킹태연생일축하해 #OurDaisyTaeyeonDay #TAEYEON #태연 https://t.co/xABAGbF8gM",positive
6,"RT @NewHopeClub: Happy birthday G, love ya x https://t.co/bWR4kuFC0D",positive
7,"RT @imVkohli: Happy birthday to the greatest ever. The fearless king. Sir viv 🙌👑
@ivivianrichards",positive
8,"RT @thedeepestmsgs_: This time I just want to be happy, not hurt, not confused, not stressed.. just happy.",positive
9,"RT @EllaWWOfficial: Welcome sa mga new members!

HAPPY 30K FOLLOWERS ELLA",positive
10,"@femi_themayor Happy birthday, huzzbanddd. God bless youuu.❤",positive
11,RT @Forever23__: Happy Charter Day To The THUG BRUHZ ARFFFFFF YESSAH,positive
12,RT @ahemyg: these photos just make me happy. https://t.co/ocJNKw6hR4,positive
13,"RT @andrea_admirer: Happy Birthday ninong liofer :)

LIOFER at22 https://t.co/ypm7mIAap6",positive
14,"RT @mustapha_aishah: Please help me manage these, long story 🥲
Happy convocation to me🥺
BNSc(first class hons)✅
#regalsetof2020 https://t.c…",positive
15,RT @cxlestialbronze: HAPPY BIRTHDAY BUCKY https://t.co/uHae3pmzXp,positive
16,"RT @xavierofficials: not happy, not sad. just empty, like my wallet.",negative
17,"RT @nasefreezer: first time ko mag try ng gantong art style habahshd HAPPY 1M VIEWS WHAT❓

REQUEST @SB19Official @MTV #FridayLivestream 

S…",positive
18,RT @Salvesayson: Be with someone who makes you happy.   #ALDUBatADNEquals,positive
19,"RT @qingchunyouni_: #YouthWithYou3 Today is also the birthday of Evaldo~Happy birthday! Hope his career could go smoothly this year~
#iQIYI…",positive
20,"RT @JAiur_14: The pictures says it all❣ ..
😭😭😭 so happy for them💕

Enjoy your stay at home babies.

WELCOME HOME J-LINE 
#トレジャー #트레저 #TREAS…",positive
21,"@Zanabe13 @Rose70022 Good morning Ana, have a nice day my dear friend. Happy wednesday for you.🐈🏵💮🌸🌼🌻 https://t.co/MrwsmtG4cg",positive
22,@ChenRcj happy bdayyyy 💖💖💖,positive
23,I really had a dream that I was in Dubai. I just remember being so happy😭 bitch when I tell you I woke up mad asf. 😒,positive
24,"RT @ralphellains: ay pak oh may pa tp 

congrats sweetheart @ellacayabyab_ , you deserve it!

HAPPY 30K FOLLOWERS ELLA",positive
25,"RT @SB19PATROL: HAPPY 1MILLION VIEWS WHAT MV!! 🎉

REQUEST @SB19Official @MTV #FridayLivestream 

STREAM SB19WHAT 
#SB19WhatMVOutNow 
#SB19",positive
26,"RT @DogecoinRise: Memes Make People Happy. 
#Dogecoin = Memes. 
🌎🚀🌕 #DogecoinRise",positive
27,RT @ErlingHaaland: Happy to reach 💯 career goals. Ready for the next 💯💪🏼 https://t.co/qVTEFRyk3O,positive
28,"RT @xavierofficials: not happy, not sad. just empty, like my wallet.",negative
29,"RT @MTVUK: wish Yoongi happy birthday and i'll give you a slice of cake !!!!!🍰  

#HappyBirthdaySUGA🎈 https://t.co/pwFQ6M1nvF",positive
30,RT @ahemyg: these photos just make me happy. https://t.co/ocJNKw6hR4,positive
31,"RT @TinyTANofficial: May love and courage always be with you, on this most silent of nights.

#Happy_SUGA_Day #TinyTAN #Birth_Flower #Larch…",positive
32,RT @goal: Dortmund fans aren't happy about reported changes to the Champions League 🙅‍♂️ #UCL https://t.co/l7WF6HeSi3,positive
33,"RT @Kiziphotograph7: Happy International Women’s Day
#HappyInternationalWomensDay2021 https://t.co/rWQAg36Fp4",positive
34,"Noah I love you life, thank you for making me happy, I am very proud of you, I love you love.✍️💌
@NoahUrrea https://t.co/XVOn02lX0x",positive
35,"RT @CoachCrassOJC: Exactly 10 years ago my man @SolomonBozeman took me on my first NCAA tournament ride, then 2 years ago the players he re…",positive
36,"Happy Brand New 365 Mr. Peace &amp; Love  @Dulli__ 🎉🎉
To the top dawg😎🍾",positive
