tweet_id,tweet_text,polarity
1,RT @AkashvaniAIR: Hon'ble Prime Minister Narendra Modi releases Manuscript with commentaries by 21 scholars on shlokas of Srimad Bhagavadgi…,positive
2,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
3,RT @jaitrejait: @KanganaTeam 1. Narendra Modi is not just a leader anymore he is a DEALER !!! https://t.co/Nn1OQwWc6i,negative
4,RT @vijnad: Have you noticed AAP's popularity is rising as fast as BJP's is sinking ? Arvind Kejriwal is rapidly emerging as an alternative…,positive
5,"RT @manishakimball: @CarneyJHouston @ThePollLady @KanganaTeam In her own style here's another poll :

Why would you not support Narendra Mo…",positive
6,"RT @Sandeep79058171: @BankerDihaadi BJP's Publicity- 4500 Cr
Plane travel cost -4000 cr
BJP office in Delhi- 700 Cr
Narendra Modi Stadium-…",negative
7,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
8,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
9,"RT @davidfrawleyved: Narendra Modi is the most popular democratically elected leader in the world since 2014. And in India, the world’s lar…",neutral
10,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
11,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
12,"RT @ArunSharma_Says: Dr Manmohan Singh was a STRONGER Prime Minister than Narendra Modi!

RT if you agree ......",positive
13,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
14,"Honourable PM Narendra Modi Ji ensure  JUSTICE for SUSHANT, DISHA, JIA....(countless deaths by bullywood)… https://t.co/ogs79HCo7n",positive
15,"RT @SaffronTommy: C Voter polls say 55% of Kerala prefers Rahul Gandhi as PM, while 33% say they prefer Narendra Modi as PM. The media will…",positive
16,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
17,"RT @ArunSharma_Says: Dr Manmohan Singh was a STRONGER Prime Minister than Narendra Modi!

RT if you agree ......",positive
18,"Honourable PM Narendra Modi Ji ensure  JUSTICE for SUSHANT, DISHA, JIA....(countless deaths by bullywood)… https://t.co/hEYRGiXaUy",positive
19,@ANI @narendramodi ji made Didi @MamataOfficial to make tea and serve. Didi has to swallow whatever she did and sai… https://t.co/yPRABolYMu,positive
20,"RT @bainjal: The Modi Shah model of CM’s nominated by them not working for Bjp. “Narendra, Trivendra, Devendra” slogan kaput as Fadnavis &amp;…",negative
21,"RT @blue21sky: Hon'ble PM @narendramodi took 1st dose of  #COVAXIN at AIIMS

Sister P Niveda administered #COVAXIN by #BharatBioTech to #PM…",positive
22,"RT @davidfrawleyved: Narendra Modi is the most popular democratically elected leader in the world since 2014. And in India, the world’s lar…",neutral
23,Public participation should be basis of celebrations for India’s 75 years of independence: PM Narendra Modi… https://t.co/OHPlFOI4L0,neutral
24,"RT @ChintuJainHS: Honourable PM Narendra Modi Ji ensure  JUSTICE for SUSHANT, DISHA, JIA....(countless deaths by bullywood) 

@DrJitendraSi…",positive
25,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
26,RT @jaitrejait: @KanganaTeam 1. Narendra Modi is not just a leader anymore he is a DEALER !!! https://t.co/Nn1OQwWc6i,negative
27,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
28,RT @KhaledBeydoun: Narendra Modi is threatening to deport Rohingya Muslims in #India - who endured ethnic cleaning in Myanmar - back to Mya…,neutral
29,"RT @ChintuJainHS: Honourable PM Narendra Modi Ji ensure  JUSTICE for SUSHANT, DISHA, JIA....(countless deaths by bullywood) 

@DrJitendraSi…",positive
30,"RT @davidfrawleyved: Narendra Modi is the most popular democratically elected leader in the world since 2014. And in India, the world’s lar…",neutral
31,"RT @davidfrawleyved: Narendra Modi is the most popular democratically elected leader in the world since 2014. And in India, the world’s lar…",neutral
32,"RT @Die5chlauKatz3: Really good video on the current situation of India in German.
https://t.co/bK8pcORd5G",positive
33,"RT @VermaDaksha2000: Double face of Narendra Modi
2016 Assembly elections : Narendra  asked people to vote OUT the corrupt Mukul Roy, Shuve…",positive
34,RT @samavritti: Narendra Modi dumping his wife in her youth is no wrong ? But Rahul Gandhi going on personal foreign trips becomes the most…,negative
35,"RT @harshmadhusudan: PM Shri Narendra Modi will be participating, along with PM of Australia Scott Morrison, PM of Japan Yoshihide Suga and…",negative
36,"RT @bainjal: The Modi Shah model of CM’s nominated by them not working for Bjp. “Narendra, Trivendra, Devendra” slogan kaput as Fadnavis &amp;…",negative
37,"RT @bainjal: The Modi Shah model of CM’s nominated by them not working for Bjp. “Narendra, Trivendra, Devendra” slogan kaput as Fadnavis &amp;…",negative
38,"RT @ChintuJainHS: Honourable PM Narendra Modi Ji ensure  JUSTICE for SUSHANT, DISHA, JIA....(countless deaths by bullywood) 

@DrJitendraSi…",positive
39,RT @KhaledBeydoun: Narendra Modi is threatening to deport Rohingya Muslims in #India - who endured ethnic cleaning in Myanmar - back to Mya…,neutral
40,"RT @bainjal: The Modi Shah model of CM’s nominated by them not working for Bjp. “Narendra, Trivendra, Devendra” slogan kaput as Fadnavis &amp;…",negative
41,RT @KhaledBeydoun: Narendra Modi is threatening to deport Rohingya Muslims in #India - who endured ethnic cleaning in Myanmar - back to Mya…,neutral
42,RT @jaitrejait: @KanganaTeam Narendra Modi is not just a leader anymore he is a RAGE!!! https://t.co/dDJSyDg5D5,negative
43,"Honourable PM Narendra Modi Ji ensure  JUSTICE for SUSHANT, DISHA, JIA....(countless deaths by bullywood)… https://t.co/TCfTZyNYJS",positive
44,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
45,"RT @manishakimball: @CarneyJHouston @ThePollLady @KanganaTeam In her own style here's another poll :

Why would you not support Narendra Mo…",positive
46,"RT @manishakimball: @CarneyJHouston @ThePollLady @KanganaTeam In her own style here's another poll :

Why would you not support Narendra Mo…",positive
47,@ThomasSowell Are you talking about Narendra Modi?,positive
48,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
49,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
50,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
51,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
52,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
53,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
54,"RT @ChintuJainHS: Honourable PM Narendra Modi Ji ensure  JUSTICE for SUSHANT, DISHA, JIA....(countless deaths by bullywood) 

@DrJitendraSi…",positive
55,"RT @ANI: Prime Minister Narendra Modi releases 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Gita

J…",positive
56,"RT @davidfrawleyved: Narendra Modi is the most popular democratically elected leader in the world since 2014. And in India, the world’s lar…",neutral
57,"RT @Manav_SS_Gupta: That Is All...👇

#Modi Is Worse Than Covid...
 
Believe A Snake But Not #Narendra_Modi....

Foreign Slogan          Ind…",neutral
58,"RT @ChintuJainHS: Honourable PM Narendra Modi Ji ensure  JUSTICE for SUSHANT, DISHA, JIA....(countless deaths by bullywood) 

@DrJitendraSi…",positive
59,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
60,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
61,"RT @bainjal: The Modi Shah model of CM’s nominated by them not working for Bjp. “Narendra, Trivendra, Devendra” slogan kaput as Fadnavis &amp;…",negative
62,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
63,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
64,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
65,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
66,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
67,"RT @VermaDaksha2000: Double face of Narendra Modi
2016 Assembly elections : Narendra  asked people to vote OUT the corrupt Mukul Roy, Shuve…",positive
68,"RT @Die5chlauKatz3: Really good video on the current situation of India in German.
https://t.co/bK8pcORd5G",positive
69,"RT @VermaDaksha2000: Double face of Narendra Modi
2016 Assembly elections : Narendra  asked people to vote OUT the corrupt Mukul Roy, Shuve…",positive
70,"@CarneyJHouston @ThePollLady @KanganaTeam In her own style here's another poll :

Why would you not support Narendra Modi?",positive
71,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
72,"RT @PromoterBoxing: ‘Uncomfortable signal to China’: Japan’s #Suga raises Hong Kong, South China Sea, Xinjiang in phone call with India’s #…",neutral
73,"Honourable PM Narendra Modi Ji ensure  JUSTICE for SUSHANT, DISHA, JIA....(countless deaths by bullywood)… https://t.co/OS2Tr9vxAO",positive
74,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
75,"RT @JaharLaunda: Narendra Modi asking questions to Narendra Modi on increased #PetrolPrice in the country. 
#petrol100 https://t.co/6iFpEUI…",positive
76,"International Women's Day: PM Modi buys products to celebrate 'enterprise, creativity, India's culture'… https://t.co/RGELIqLfUa",neutral
77,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
78,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
79,"RT @eMayank_chaubey: Public participation should be basis of celebrations for India’s 75 years of independence: PM Narendra Modi
https://t.…",neutral
80,"RT @amarprasadreddy: Saffron India was a dream Chhatrapati Shivaji Maharaj. It going to be fulfilled by Narendra Modi Maharaj. 
#ModiBrigad…",positive
81,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
82,"RT @Die5chlauKatz3: Really good video on the current situation of India in German.
https://t.co/bK8pcORd5G",positive
83,"RT @Manav_SS_Gupta: That Is All...👇

#Modi Is Worse Than Covid...
 
Believe A Snake But Not #Narendra_Modi....

Foreign Slogan          Ind…",neutral
84,"RT @PNPathakBJP: After historical Brigade Maidan Rally of PM @narendramodi Shri Narendra Modi Ji’s Election Campaign in Kolkata, campaignin…",positive
85,"RT @eMayank_chaubey: Public participation should be basis of celebrations for India’s 75 years of independence: PM Narendra Modi
https://t.…",neutral
86,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
87,"RT @NevilleSouthall: India fascist? Really? Yes! Both now &amp; previously!

For Sikhs this was most infamously displayed during the 1984 #Sikh…",positive
88,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
89,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
90,RT @KhaledBeydoun: Narendra Modi is threatening to deport Rohingya Muslims in #India - who endured ethnic cleaning in Myanmar - back to Mya…,neutral
91,RT @jaitrejait: @KanganaTeam Narendra Modi is not just a leader anymore he is a RAGE!!! https://t.co/dDJSyDg5D5,negative
92,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
93,"RT @VermaDaksha2000: Double face of Narendra Modi
2016 Assembly elections : Narendra  asked people to vote OUT the corrupt Mukul Roy, Shuve…",positive
94,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
95,RT @jaitrejait: @KanganaTeam 1. Looking at the current situation in the country it can be said that BJP is not a political party anymore- i…,positive
96,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
97,RT @jaitrejait: @KanganaTeam 2. Looking at the current situation in the country it can be said that BJP is not a political party anymore- i…,positive
98,"RT @davidfrawleyved: Narendra Modi is the most popular democratically elected leader in the world since 2014. And in India, the world’s lar…",neutral
99,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…,positive
100,"RT @davidfrawleyved: Narendra Modi is the most popular democratically elected leader in the world since 2014. And in India, the world’s lar…",neutral
