tweet_id,tweet_text,polarity
1,"RT @zaynmalik: Fuck the grammys and everyone associated. Unless you shake hands and send gifts, there’s no nomination considerations. Next…",neutral
2,@Youngya29521730 @ManUnitedZone_ @SkyFootball Do I fuck believe this there is more chance of my dad coming back from the shops mate 😂,negative
3,What the fuck... https://t.co/mdDTJXpFXF,neutral
4,"RT @zaynmalik: Fuck the grammys and everyone associated. Unless you shake hands and send gifts, there’s no nomination considerations. Next…",neutral
5,"RT @zaynmalik: Fuck the grammys and everyone associated. Unless you shake hands and send gifts, there’s no nomination considerations. Next…",neutral
6,@graham66261661 @19Shadylady @SkyNews Ha! No ones ever mentioned you on live tv you needy little fuck! Hilarious.,positive
7,"RT @zaynmalik: Fuck the grammys and everyone associated. Unless you shake hands and send gifts, there’s no nomination considerations. Next…",neutral
8,RT @RickySalazar23: I won't cheat on you but i will stress you the fuck out tho 😂,negative
9,"RT @WeirdUndead: I tried to ignore whole #NFT hysteria but WHAT THE FUCK
I don't give any permission (ESPECIALLY to random jerks) to make t…",positive
10,@PAMandGINA__ 😂😂😂 but naw mfs drive from deep deep east and west out there so shit fuck it take the freeway,negative
11,"RT @zaynmalik: Fuck the grammys and everyone associated. Unless you shake hands and send gifts, there’s no nomination considerations. Next…",neutral
12,"RT @zaynmalik: Fuck the grammys and everyone associated. Unless you shake hands and send gifts, there’s no nomination considerations. Next…",neutral
13,"RT @passionatelouie: “Fuck you my child is completely fine”

Your child helped footballers who lost a lot of money out just (despite never…",negative
14,@angelinajolie a fuck knows it has not constituted one or the other,positive
15,RT @haloscopy: this is not about harry just shut the fuck up,negative
16,"RT @zaynmalik: Fuck the grammys and everyone associated. Unless you shake hands and send gifts, there’s no nomination considerations. Next…",neutral
17,"@ActNormalOrElse season 8's controversial champion lauren resulted in changes to the rules going forward

""she bask… https://t.co/yYf6eJ2vdA",positive
18,"RT @zaynmalik: Fuck the grammys and everyone associated. Unless you shake hands and send gifts, there’s no nomination considerations. Next…",neutral
